group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
client_side,1. reward request 256 ads catalog),,,,99649286.0,ns,1
client_side,1. reward request 256 ads catalog),,,,204726794.0,ns,2
client_side,1. reward request 256 ads catalog),,,,296255859.0,ns,3
client_side,1. reward request 256 ads catalog),,,,403349720.0,ns,4
client_side,1. reward request 256 ads catalog),,,,488124268.0,ns,5
client_side,1. reward request 256 ads catalog),,,,587842803.0,ns,6
client_side,1. reward request 256 ads catalog),,,,694023337.0,ns,7
client_side,1. reward request 256 ads catalog),,,,769109178.0,ns,8
client_side,1. reward request 256 ads catalog),,,,889650587.0,ns,9
client_side,1. reward request 256 ads catalog),,,,980905518.0,ns,10
