group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,469365673.0,ns,1
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,916623254.0,ns,2
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,1453687671.0,ns,3
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,1875136470.0,ns,4
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,2408603453.0,ns,5
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,2816451158.0,ns,6
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,3297251148.0,ns,7
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,3703460852.0,ns,8
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,4173776525.0,ns,9
client_side,"2. fetch encrypted aggregate, decrypt aggregate, recover scalar (128 ads)",,,,4719638350.0,ns,10
